ID,类型,方案,玩法名称,组合编号,总注数,中奖注数,赔率,返水,单注金额,示例,玩法说明,简略说明,奖级,玩法缩写,返水状态
166,前三,前三组选,混合通选,3_20_166,1000|1000,270|720,0.980/0.850,0/13%,1,投注方案：组三通选[br]开奖号码：11234，即中前三组三通选,对开奖号码前三位置号码的组三或组六形态进行投注（不含豹子），前三开奖号码的形态和投注的形态一致，即中奖。,竞猜前三位开奖号码的组三或组六形态,组三|组六,前三混合通选,0
71,前三,前三其他,和值尾数,3_21_71,1000,100,0.980/0.850,0/13%,1,投注方案：和值尾数8[br]开奖号码：前三位936，和值尾数为8，即中和值尾数。,从0-9任选1个号码，所选数值等于开奖号码的万位、千位、百位三个数字相加之和的尾数，即为中奖,竞猜开奖号码前三位和值的尾数,,前三和值尾数,0
72,前三,前三其他,特殊号码,3_21_72,1000|1000|1000,10|270|60,0.980/0.850,0/13%,1,投注方案：豹子对子顺子[br]开奖号码：前三位888，即中豹子；前三位678，即中顺子；前三位558即中对子。,选择一个号码形态，所选的号码特殊属性和开奖号码前3位属性一致，即为中奖。其中：1、顺子号的万、千、百位不分顺序；2、对子号指的是开奖号码的前三位当中，任意2位数字相同的三位数号码。,竞猜开奖号码前三位的形态,豹子|对子|顺子,前三特殊号码,0
105,前三,不定位,一码不定位,3_34_105,1000,271,0.980/0.850,0/13%,1,投注方案：1[br]开奖号码：前三位至少出现1个1，即中前三一码不定位。,从0-9中选择1个号码，每注由1个号码组成，只要开奖号码的万位、千位、百位中包含所选号码，即为中奖,至少选择1个号码,,前三一码不定位,0
106,前三,不定位,二码不定位,3_34_106,1000,54,0.980/0.850,0/13%,1,投注方案：12[br]开奖号码：前三位至少出现1和2各一个，即中前三二码不定位。,从0-9中选择2个号码，每注由2个不同号码组成，开奖号码的万位、千位、百位中包含所选号码，即为中奖,至少选择2个号码,,前三二码不定位,0
73,中三,中三直选,复式,4_22_73,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：中三位 345，即中中三直选。,从千位、百位、十位中选择一个3位数号码组成一注，所选号码与开奖号码中3位相同，且顺序一致，即为中奖,竞猜开奖号码的中三位,,中三直选复式,0
75,中三,中三直选,和值A面,4_22_75,1000,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：中三位 001、010、100，即中中三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的千位、百位、十位3个数字相加之和，即为中奖,竞猜开奖号码的中三位之和,,中三直选和值A面,0
154,中三,中三直选,和值B面,4_22_154,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,1|3|6|10|15|21|28|36|45|55|63|69|73|75,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：中三位 001、010、100，即中中三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的千位、百位、十位3个数字相加之和，即为中奖,竞猜开奖号码的中三位之和,0，27|1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,中三直选和值B面,0
74,中三,中三直选,单式,4_22_74,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：中三位 345，即中中三直选。,手动输入号码，至少输入1个3位数号码组成一注，所输入号码与开奖号码的千位、百位、十位相同，顺序一致，即为中奖,输入3个有效号码组成1注,,中三直选单式,0
76,中三,中三直选,跨度A面,4_22_76,1000,1,0.980/0.850,0/13%,1,投注方案：跨度8[br]开奖号码：中三位 0-8-X，其中X不等于9；或者中三位1-9-X，其中X不等于0，即中中三直选跨度。,从0-9中任意选择1个号码，所选数值等于开奖号码的中三位最大与最小相减之差，即为中奖,竞猜中三位开奖号码最大与最小之差,,中三直选跨度A面,0
155,中三,中三直选,跨度B面,4_22_155,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,10|54|96|126|144|150|144|126|96|54,0.980/0.850,0/13%,1,投注方案：和值8[br]开奖号码：中三位 0-8-X，其中X不等于9；或者中三位1-9-X，其中X不等于0，即中中三直选跨度,从0-9中任意选择1个号码，所选数值等于开奖号码的中三位最大与最小相减之差，即为中奖,竞猜中三位开奖号码最大与最小之差,0|1|2|3|4|5|6|7|8|9,中三直选跨度B面,0
77,中三,中三直选,组合,4_22_77,1000|100|10,1|1|1,0.980/0.850,0/13%,1,投注方案：购买6+7+8，有以下3注:678(三星)、78(二星)、8(一星)构成。[br]开奖号码：*678*，即可中三星、二星、一星各1注。,从千位、百位、十位中至少各选一个号码组成1-3星的组合共3注，所选号码的十位与开奖号码全部相同，则中1个3等奖；所选号码的百位、十位与开奖号码全部相同，则中1个3等奖以及1个2等奖，依次类推，最高可中3个奖。,每位至少选择一个号码,三星|二星|一星,中三直选组合,0
78,中三,中三组选,组三,4_23_78,1000,3,0.980/0.850,0/13%,1,投注方案：588[br]开奖号码：中三位 588（顺序不限），即中中三组选三。,从0-9选择2个数字组成二注，所选号码与开奖号码的千位、百位、十位相同，中三号码为对子，顺序不限，即为中奖,至少选择2个号码,,中三组选三,0
81,中三,中三组选,和值A面,4_23_81,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：中三位003（顺序不限）即中中三组选三，或者中三位012（顺序不限）即中中三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码千位、百位、十位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的中三位之和（不含对子）,组三|组六,中三组选和值A面,0
156,中三,中三组选,和值B面,4_23_156,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,3|6|6$12|12$24|15$30|18$36|24$48|30$60|33$66|39$78|42$84|42$84|45$90,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：中三位003（顺序不限）即中中三组选三，或者中三位012（顺序不限）即中中三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码千位、百位、十位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的中三位之和（不含对子）,1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,中三组选和值B面,0
79,中三,中三组选,组六,4_23_79,1000,6,0.980/0.850,0/13%,1,投注方案：258[br]开奖号码：中三位 852（顺序不限），即中中三组选六。,从0-9选择3个数字组成一注，所选号码与开奖号码的千位、百位、十位相同，中三号码不为对子和豹子，顺序不限，即为中奖,至少选择3个号码,,中三组选六,0
82,中三,中三组选,包胆A面,4_23_82,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：中三位33x或3xx，含有对子即中中三组选三。中三位3xy，三个不重复的号码即中中三组选六。,从0-9中任意选择1个包胆号码，开奖号码的千位、百位、十位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码中三位必出的1个号码,组三|组六,中三组选包胆A面,0
157,中三,中三组选,包胆B面,4_23_157,1000|1000,162|324,0.980/0.850,0/13%,1,投注方案：包胆3[br]开奖号码：中三位33x或3xx，含有对子即中中三组选三。中三位3xy，三个不重复的号码即中中三组选六。,从0-9中任意选择1个包胆号码，开奖号码的千位、百位、十位中任意1位与所选包胆号码相同（不含豹子号），即为中奖,竞猜开奖号码中三位必出的1个号码,组三|组六,中三组选包胆B面,0
80,中三,中三组选,混合组选,4_23_80,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：001 和 123[br]开奖号码：中三位 010（顺序不限），即中中三组选三，或者中三位 312（顺序不限），即中中三组选六。,手动输入一个三位数号码组成一注（不含豹子号），开奖号码的千位、百位、十位符合中三组三或组六均为中奖,输入3个有效号码组成1注,组三|组六,中三混合组选,0
167,中三,中三组选,混合通选,4_23_167,1000|1000,270|720,0.980/0.850,0/13%,1,投注方案：组三通选[br]开奖号码：01125，即中中三组三通选,对开奖号码中三位置号码的组三或组六形态进行投注（不含豹子），中三开奖号码的形态和投注的形态一致，即中奖。,竞猜中三位开奖号码的组三或组六形态,组三|组六,中三混合通选,0
83,中三,中三其他,和值尾数,4_24_83,1000,100,0.980/0.850,0/13%,1,投注方案：和值尾数8[br]开奖号码：中三位936，和值尾数为8，即中和值尾数。,从0-9任选1个号码，所选数值等于开奖号码的千位、百位、十位三个数字相加之和的尾数，即为中奖,竞猜开奖号码中三位和值的尾数,,中三和值尾数,0
84,中三,中三其他,特殊号码,4_24_84,1000|1000|1000,10|270|60,0.980/0.850,0/13%,1,投注方案：豹子对子顺子[br]开奖号码：中三位888，即中豹子；中三位678，即中顺子；中三位558即中对子。,选择一个号码形态，所选的号码特殊属性和开奖号码中3位属性一致，即为中奖。其中：1、顺子号的千、百、十位不分顺序；2、对子号指的是开奖号码的中三位当中，任意2位数字相同的三位数号码。,竞猜开奖号码中三位的形态,豹子|顺子|对子,中三特殊号码,0
85,后三,后三直选,复式,5_25_85,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：后三位 345，即中后三直选。,从百位、十位、个位中选择一个3位数号码组成一注，所选号码与开奖号码后3位相同，且顺序一致，即为中奖,竞猜开奖号码的后三位,,后三直选复式,0
87,后三,后三直选,和值A面,5_25_87,1000,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：后三位 001、010、100，即中后三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的百位、十位、个位3个数字相加之和，即为中奖,竞猜开奖号码的后三位之和,,后三直选和值A面,0
158,后三,后三直选,和值B面,5_25_158,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,1|3|6|10|15|21|28|36|45|55|63|69|73|75,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：后三位 001、010、100，即中后三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的百位、十位、个位3个数字相加之和，即为中奖,竞猜开奖号码的后三位之和,0，27|1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,后三直选和值B面,0
86,后三,后三直选,单式,5_25_86,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：后三位 345，即中后三直选。,手动输入号码，至少输入1个3位数号码组成一注，所输入号码与开奖号码的百位、十位、个位相同，顺序一致，即为中奖,输入3个有效号码组成1注,,后三直选单式,0
88,后三,后三直选,跨度A面,5_25_88,1000,1,0.980/0.850,0/13%,1,投注方案：跨度8[br]开奖号码：后三位 0-8-X，其中X不等于9；或者后三位1-9-X，其中X不等于0，即中后三直选跨度。,从0-9中任意选择1个号码，所选数值等于开奖号码的后三位最大与最小相减之差，即为中奖,竞猜后三位开奖号码最大与最小之差,,后三直选跨度A面,0
159,后三,后三直选,跨度B面,5_25_159,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,10|54|96|126|144|150|144|126|96|54,0.980/0.850,0/13%,1,投注方案：跨度8[br]开奖号码：后三位 0-8-X，其中X不等于9；或者后三位1-9-X，其中X不等于0，即中后三直选跨度。,从0-9中任意选择1个号码，所选数值等于开奖号码的后三位最大与最小相减之差，即为中奖,竞猜后三位开奖号码最大与最小之差,0|1|2|3|4|5|6|7|8|9,后三直选跨度B面,0
89,后三,后三直选,组合,5_25_89,1000|100|10,1|1|1,0.980/0.850,0/13%,1,投注方案：购买6+7+8，有以下3注:678(三星)、78(二星)、8(一星)构成。[br]开奖号码：**678，即可中三星、二星、一星各1注。,从百位、十位、个位中至少各选一个号码组成1-3星的组合共3注，所选号码的个位与开奖号码全部相同，则中1个3等奖；所选号码的十位、个位与开奖号码全部相同，则中1个3等奖以及1个2等奖，依次类推，最高可中3个奖。,每位至少选择一个号码,三星|二星|一星,后三直选组合,0
90,后三,后三组选,组三,5_26_90,1000,3,0.980/0.850,0/13%,1,投注方案：588[br]开奖号码：后三位 588（顺序不限），即中后三组选三。,从0-9选择2个数字组成二注，所选号码与开奖号码的百位、十位、个位相同，后三号码为对子，顺序不限，即为中奖,至少选择2个号码,,后三组选三,0
93,后三,后三组选,和值A面,5_26_93,1000|1000,3|6,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：后三位003（顺序不限）即中后三组选三，或者后三位012（顺序不限）即中后三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码百位、十位、个位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的后三位之和（不含豹子）,组三|组六,后三组选和值A面,0
160,后三,后三组选,和值B面,5_26_160,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,3|6|6$12|12$24|15$30|18$36|24$48|30$60|33$66|39$78|42$84|42$84|45$90,0.980/0.850,0/13%,1,投注方案：和值3[br]开奖号码：后三位003（顺序不限）即中后三组选三，或者后三位012（顺序不限）即中后三组选六。,从1-26中任意选择1个以上号码，所选数值等于开奖号码百位、十位、个位三个数字相加之和（非豹子号），即为中奖,竞猜开奖号码的后三位之和（不含豹子）,1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,后三组选和值B面,0
91,后三,后三组选,组六,5_26_91,1000,6,0.980/0.850,0/13%,1,投注方案：258[br]开奖号码：后三位 852（顺序不限），即中后三组选六。,从0-9选择3个数字组成一注，所选号码与开奖号码的百位、十位、个位相同，后三号码不为对子和豹子，顺序不限，即为中奖,至少选择3个号码,,后三组选六,0
